task,activity,pdf_path,error,F,O,T,E,R,C,B,name,id
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/78888.pdf,,1,1,2,2,0,1,,Built for speed,f43c7-78888
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/79047.pdf,,1,0,1,0,0,0,,Sail boat,f43c7-79047
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/79207.pdf,,1,0,0,4,1,1,,Onward,f43c7-79207
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/79277.pdf,,1,1,0,0,0,0,,Kiss me,f43c7-79277
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/80188.pdf,,1,1,1,1,0,1,,A leaf,f43c7-80188
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/80287.pdf,,1,0,2,4,1,1,,Viking's rage 1,f43c7-80287
bookletb,activity2a,../../data/ttct_figural/THU AM Drost POST TTCT Fall 2012/NONAME.pdf,,1,0,1,2,0,0,,Sailing across sea,f43c7-NONAME
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/67159.pdf,,1,1,0,0,1,1,,my hook!,f520c-67159
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/69221.pdf,,1,1,2,0,1,1,,sailing to paradise,f520c-69221
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/73294.pdf,,1,1,1,0,1,1,,Switch blade,f520c-73294
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/77803.pdf,,1,0,0,0,1,1,,sailboat,f520c-77803
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/77942.pdf,,1,0,1,5,1,0,,Boat ride,f520c-77942
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/77966.pdf,,1,1,0,0,1,1,,airplane,f520c-77966
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/78234.pdf,,,,,,,,,,f520c-78234
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/78393.pdf,,1,0,0,1,1,0,,My favorite sailboat,f520c-78393
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/78460.pdf,,1,0,0,0,1,1,,Boat,f520c-78460
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/78523.pdf,,1,0,2,2,1,0,,Fishing relieves stress,f520c-78523
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/79095.pdf,,1,1,1,1,1,1,,The upside down snake,f520c-79095
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/79307.pdf,,1,1,2,0,2,1,,sleeping ducky ride,f520c-79307
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/80011.pdf,,1,1,1,1,1,1,,Pacman,f520c-80011
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/80132.pdf,,1,0,1,0,1,0,,Fastest boat ride,f520c-80132
bookletb,activity2a,../../data/ttct_figural/McCammon Am CA213 TTCT Post Fall 2012/RD-19111512.pdf,,,,,,,,,,f520c-RD-19111512
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/67226.pdf,,1,1,1,2,2,2,,Blade 1,fc15b-67226
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/69826.pdf,,,,,,,,,,fc15b-69826
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/70338.pdf,,,,,,,,,,fc15b-70338
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/73717.pdf,,1,1,2,7,2,2,,Harry the whale,fc15b-73717
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/73791.pdf,,1,0,0,1,0,0,,Boat?,fc15b-73791
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74059.pdf,,1,1,1,7,2,2,,Water boots,fc15b-74059
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74193.pdf,,1,0,1,2,1,1,,The Plain boat,fc15b-74193
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74248.pdf,,1,1,0,4,2,1,,,fc15b-74248
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74340.pdf,,1,0,3,20,2,2,,Slick Rick Locking 4luv,fc15b-74340
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74429.pdf,,1,0,1,7,1,1,,Black Pearl,fc15b-74429
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74634.pdf,,1,0,2,13,1,1,,Super fruits,fc15b-74634
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74672.pdf,,,,,,,,,,fc15b-74672
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/74836.pdf,,1,1,1,2,0,1,,Apple slice,fc15b-74836
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/75857.pdf,,1,0,2,9,2,1,,Queen big mouth,fc15b-75857
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/76123.pdf,,1,0,1,4,1,1,,Banana sundae,fc15b-76123
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/76524.pdf,,1,0,2,5,1,1,,Going down the river,fc15b-76524
bookletb,activity2a,../../data/ttct_figural/McCammon FRI PM TTCT Pre/76557.pdf,,1,0,1,5,1,1,,Sisa boat,fc15b-76557
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/49769.pdf,,1,1,3,2,1,1,,The ditch to nowhere,01121-49769
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/72318.pdf,,1,0,2,3,1,1,,One side of the shoe,01121-72318
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/72950.pdf,,,,,,,,,,01121-72950
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74133.pdf,,1,1,3,5,1,2,,Seemed fun at first,01121-74133
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74506.pdf,,1,0,1,2,1,1,,Rain boot,01121-74506
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74652.pdf,,1,1,2,4,2,1,,The candle that lit,01121-74652
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74741.pdf,,,,,,,,,,01121-74741
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74745.pdf,,1,1,3,17,0,1,,Hard work to build a fire,01121-74745
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74945.pdf,,1,1,1,9,2,2,,The Mask,01121-74945
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75174.pdf,,,,,,,,,,01121-75174
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75426.pdf,,1,0,1,2,1,1,,The Letter 'L',01121-75426
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75590.pdf,,,,,,,,,,01121-75590
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75617.pdf,,,,,,,,,,01121-75617
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75930.pdf,,1,1,1,12,2,1,,Epic fail,01121-75930
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/76893.pdf,,,,,,,,,,01121-76893
bookletb,activity2b,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/77244.pdf,,,,,,,,,,01121-77244
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/0694.pdf,,1,1,2,6,2,2,,Sound of music,055ec-0694
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/0921.pdf,,1,0,1,0,0,0,,The Letter U,055ec-0921
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/0979.pdf,,1,1,2,0,0,0,,The U turn in life,055ec-0979
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1172.pdf,,1,1,1,0,0,0,,Shark tail,055ec-1172
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1304.pdf,,1,1,0,0,0,0,,Hammack,055ec-1304
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1367.pdf,,,,,,,,,,055ec-1367
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1556.pdf,,1,0,0,0,0,0,,Ride,055ec-1556
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1561.pdf,,1,1,2,1,1,1,,Bon voyage,055ec-1561
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1727.pdf,,1,1,2,1,1,1,,Last candle,055ec-1727
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/6368.pdf,,1,1,1,1,1,1,,Ice bug,055ec-6368
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/6397.pdf,,1,1,2,19,0,1,,Xtreme air,055ec-6397
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/9558.pdf,,1,1,1,6,1,1,,A bat,055ec-9558
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/34179.pdf,,1,1,3,10,2,2,0,Head stones,06d28-34179
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/73874.pdf,,1,1,3,1,2,1,0,Fisher,06d28-73874
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/74020.pdf,,1,1,0,10,0,2,0,,06d28-74020
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/74844.pdf,,1,1,3,6,2,0,0,Death by rock,06d28-74844
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/75133.pdf,,1,1,3,4,2,1,0,Rollercoaster Dead end,06d28-75133
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/75440.pdf,,1,1,0,1,0,1,0,The knife,06d28-75440
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/76472.pdf,,1,1,2,6,0,1,0,Skyscraper,06d28-76472
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/76574.pdf,,1,1,2,8,0,2,0,3 is better than 1!,06d28-76574
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/76935.pdf,,1,1,1,2,0,1,0,Mail boy,06d28-76935
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/62874.pdf,,1,1,2,4,1,1,0,Meets shark,0f3ce-62874
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/65435.pdf,,,,,,,,,,0f3ce-65435
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/67262.pdf,,1,1,3,9,1,0,0,Abbys Judgement,0f3ce-67262
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/73981.pdf,,,,,,,,,,0f3ce-73981
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/74346.pdf,,1,0,2,3,2,1,0,A slide with pool,0f3ce-74346
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/74910.pdf,,1,1,1,2,0,0,0,Rain pipe,0f3ce-74910
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/74978.pdf,,1,1,2,3,0,1,0,Broken pencil hat,0f3ce-74978
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/75829.pdf,,1,1,0,2,0,0,0,A pike,0f3ce-75829
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/75911.pdf,,1,1,1,0,2,1,0,Roller coaster,0f3ce-75911
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/76384.pdf,,1,1,3,8,0,0,0,The ramp of fun,0f3ce-76384
bookletb,activity2b,../../data/ttct_figural/Mills Sunday Am E2L4 TTCT SS12/61995.pdf,,1,0,1,0,0,0,,My soaring Kite,11339-61995
bookletb,activity2b,../../data/ttct_figural/Mills Sunday Am E2L4 TTCT SS12/74679.pdf,,1,1,1,1,1,0,,Melted candle,11339-74679
bookletb,activity2b,../../data/ttct_figural/Mills Sunday Am E2L4 TTCT SS12/75589.pdf,,1,1,0,8,2,2,,Shower,11339-75589
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/61601.pdf,,1,1,0,2,0,1,0,Box cutter,124a7-61601
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/6456.pdf,,1,1,3,0,2,1,0,Rise & Fall of Rome,124a7-6456
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/66412.pdf,,1,0,1,6,2,1,0,Elephant trunk,124a7-66412
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/69433.pdf,,1,1,0,2,0,1,0,,124a7-69433
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/708985.pdf,,1,1,2,4,0,2,0,The melting candle stick,124a7-708985
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/71246.pdf,,1,1,1,1,1,1,0,Water park,124a7-71246
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/71558.pdf,,1,1,0,10,2,1,0,The room,124a7-71558
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/73534.pdf,,1,1,0,0,0,0,0,A claw,124a7-73534
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/74768.pdf,,1,1,3,6,0,1,0,The book that no one dared to read,124a7-74768
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/75406.pdf,,1,0,1,0,1,2,0,Zero From space,124a7-75406
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/75589.pdf,,1,1,0,3,0,1,0,,124a7-75589
bookletb,activity2b,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/75925.pdf,,1,1,1,1,1,1,0,The finish line,124a7-75925
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/51096.pdf,,,,,,,,,,16713-51096
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/66934.pdf,,1,1,2,1,1,1,,Light of my world,16713-66934
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/68310.pdf,,1,1,1,2,2,2,,Small city,16713-68310
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/69730.pdf,,,,,,,,,,16713-69730
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/73627.pdf,,1,1,3,1,2,2,,Cooperation,16713-73627
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/74929.pdf,,,,,,,,,,16713-74929
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/75038.pdf,,,,,,,,,,16713-75038
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/75903.pdf,,1,1,1,1,1,0,,Skate hop,16713-75903
bookletb,activity2b,../../data/ttct_figural/Sun PM Mills FSII TTCT/76259.pdf,,1,1,0,1,1,1,,Jaw,16713-76259
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1101.pdf,,1,1,1,2,2,1,,Melting candle,1a0c5-1101
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1246.pdf,,1,1,1,0,1,0,,Right Claw,1a0c5-1246
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1426.pdf,,1,1,2,13,2,2,,City Wonderland,1a0c5-1426
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1495.pdf,,,,,,,,,,1a0c5-1495
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1581.pdf,,,,,,,,,,1a0c5-1581
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1792.pdf,,,,,,,,,,1a0c5-1792
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2441.pdf,,,,,,,,,,1a0c5-2441
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2558.pdf,,1,1,2,9,2,2,,The girl that loved to sing,1a0c5-2558
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2761.pdf,,1,1,0,0,0,0,,Knife,1a0c5-2761
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2841.pdf,,1,1,2,1,1,1,,Cubism a la Maugham,1a0c5-2841
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/8225.pdf,,,,,,,,,,1a0c5-8225
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/9569.pdf,,1,1,1,0,0,0,,Front of a gun,1a0c5-9569
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/9812.pdf,,1,1,2,2,1,1,,Skaters half pipe,1a0c5-9812
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/62407.pdf,,,,,,,,,Boot,30e2f-62407
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/66530.pdf,,1,1,1,0,2,0,,Santa's slay,30e2f-66530
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/71234.pdf,,1,1,0,0,1,0,,Candle,30e2f-71234
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/71749.pdf,,1,1,0,2,2,1,,Candle,30e2f-71749
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/74171.pdf,,1,1,0,0,2,2,,,30e2f-74171
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/74411.pdf,,,,,,,,,,30e2f-74411
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/74432.pdf,,,,,,,,,The letter M,30e2f-74432
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/75615.pdf,,1,1,1,0,2,0,,Slide pool,30e2f-75615
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/75788.pdf,,1,1,0,1,2,2,,The speaker,30e2f-75788
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76346.pdf,,1,1,1,0,2,2,,The roller coaster,30e2f-76346
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76440.pdf,,1,1,1,0,2,0,,Jack and Jill,30e2f-76440
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76767.pdf,,1,1,1,3,2,1,,Swing of death,30e2f-76767
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76888.pdf,,1,1,1,0,2,0,,Driving road,30e2f-76888
bookletb,activity2b,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76948.pdf,,,,,,,,,The letter U,30e2f-76948
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/0312.pdf,,1,1,1,2,1,1,,Musical note,3b845-0312
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/0510.pdf,,1,1,0,3,1,1,,Tribal,3b845-0510
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/1629.pdf,,1,1,1,0,0,1,,Music note,3b845-1629
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/1724.pdf,,1,0,1,0,1,0,,Unique 'N',3b845-1724
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/3423.pdf,,,,,,,,,,3b845-3423
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/3676.pdf,,1,0,1,1,1,0,,Sail boat,3b845-3676
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/3834.pdf,,1,1,3,2,1,1,,Another tow truck in my truck fleet,3b845-3834
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/5088.pdf,,1,0,2,9,2,1,,Home to wave,3b845-5088
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/5383.pdf,,1,1,2,1,1,1,,World's biggest shoes,3b845-5383
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/6051.pdf,,,,,,,,,,3b845-6051
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/6799.pdf,,,,,,,,,,3b845-6799
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/7801.pdf,,1,1,1,1,1,1,,Skating ring,3b845-7801
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/9055.pdf,,1,1,0,1,0,1,,Music note,3b845-9055
bookletb,activity2b,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/k118.pdf,,1,0,0,12,2,0,,,3b845-k118
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/079811.pdf,,1,1,1,0,1,1,,US President,499e0-079811
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/080111.pdf,,1,1,1,0,1,1,,Burning candle,499e0-080111
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/64533.pdf,,1,1,1,0,2,1,,Music notes,499e0-64533
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/71277.pdf,,1,1,0,0,1,1,,Rocket,499e0-71277
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/71369.pdf,,,,,,,,,,499e0-71369
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/75273.pdf,,1,1,1,0,1,1,,Shoe had to walk in,499e0-75273
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/75689.pdf,,1,1,0,0,1,0,,Hide,499e0-75689
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/78555.pdf,,1,1,1,1,2,1,,Act,499e0-78555
bookletb,activity2b,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/78780.pdf,,1,1,1,2,1,2,,,499e0-78780
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/52578.pdf,,1,1,1,0,0,1,,blade,4d7be-52578
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/75197.pdf,,1,1,1,0,1,1,,The loop roller coaster,4d7be-75197
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/75262.pdf,,,,,,,,,,4d7be-75262
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/76063.pdf,,1,1,0,0,1,1,,,4d7be-76063
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/77532.pdf,,1,1,1,0,0,1,,Book of eli,4d7be-77532
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/77650.pdf,,1,1,0,0,2,1,,Musical note,4d7be-77650
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/77814.pdf,,1,1,0,0,2,1,,Music notes,4d7be-77814
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78213.pdf,,1,1,0,0,2,1,,Basement door,4d7be-78213
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78250.pdf,,1,1,1,0,2,1,,Old time flat seveen,4d7be-78250
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78281.pdf,,1,1,1,2,1,1,,Water slide,4d7be-78281
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78658.pdf,,1,1,0,0,1,1,,Iron / Heater,4d7be-78658
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/79631.pdf,,1,1,0,0,1,1,,,4d7be-79631
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/Redacted-AG-11.16.12B.pdf,,1,1,0,0,1,1,,Tony Hawk,4d7be-Redacted-AG-11.16.12B
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/Redacted-CS-11.16.12B.pdf,,1,1,2,0,2,1,,??? Of friendship,4d7be-Redacted-CS-11.16.12B
bookletb,activity2b,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/Redacted-CSM-11.16.12B.pdf,,1,1,0,0,2,1,,Customized Mtv logo,4d7be-Redacted-CSM-11.16.12B
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/66910.pdf,,1,1,0,0,2,1,,Candle,4ecff-66910
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/67081.pdf,,1,1,1,0,2,1,,The smallest water slide,4ecff-67081
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/70689.pdf,,,,,,,,,,4ecff-70689
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/70737.pdf,,1,1,0,0,1,1,,Shark,4ecff-70737
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/72516.pdf,,1,1,1,0,2,1,,The deserted playground,4ecff-72516
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/73110.pdf,,1,1,0,1,0,1,,Candle,4ecff-73110
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/73297.pdf,,1,1,0,2,1,1,,The Iron,4ecff-73297
bookletb,activity2b,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/73737.pdf,,1,1,0,0,1,1,,Tims,4ecff-73737
